Date,Points,Victory,Spirit #1,Spirit #2,Spirit #3,Spirit #4,Adversary,Adv. Level,Scenario,Difficulty,Time,Branch and Claw,Jagged Earth
23.05.01,0,Yes,A Spread of Rampnant Green,Lightning's Swift Strike,None,None,Brandenburg-Prussia,1,None,2,0,No,No
23.05.05,13,No,Lightning's Swift Strike,Bringer of Dreams and Nightmares,None,None,England,1,None,3,0,No,No
23.05.06,35,Yes,A Spread of Rampnant Green,Vital Strength of the Earth,None,None,England,1,None,3,0,No,No
23.05.15,37,Yes,A Spread of Rampnant Green,Ocean's Hungry Grasp,None,None,Sweden,2,None,3,3,No,No
23.05.27,48,Yes,A Spread of Rampant Green,River Surges in Sunlight,None,None,England,0,Rituals of Terror,4,2,No,No
23.06.02,44,Yes,Shadows Flicker Like Flame,A Spread of Rampant Green,None,None,Brandenburg-Prussia,3,None,6,3,No,No
23.06.11,52,Yes,Vital Strength of the Earth,Thunderspeaker,None,None,Brandenburg-Prussia,3,Dahan Insurrection,6,3.75,No,No
23.06.27,24,No,A Spread of Rampant Green,Ocean's Hungry Grasp,None,None,England,4,None,7,2,No,No
23.06.30,34,Yes,Keeper of the Forbidden Wilds,Sharp Fangs Behind the Leaves,None,None,Sweden,2,None,3,4,Yes,No
23.07.01,36,Yes,Bringer of Dreams and Nightmares,Ocean's Hungry Grasp,None,None,Brandenburg-Prussia,1,Ward the Shores,4,3,Yes,No
23.07.03,36,Yes,A Spread of Rampant Green,Thunderspeaker,None,None,Sweden,1,Powers long forgotten,3,3,Yes,No
23.07.07,23,Yes,Ocean's Hungry Grusp,Bringer of Dreams and Nightmares,None,None,Brandenburg-Prussia,1,Second Wave - wave 0,2,0,Yes,No
23.07.16,44.5,Yes,Lightning's Swift Strike ,Vital Strength Of The Earth ,None,None,Brandenburg-Prussia,2,Second Wave - wave 2,5,2.5,Yes,No,
23.07.21,53,Yes,A Spread of Rampant Green,Lightning's Swift Strike ,None,None,Brandenburg-Prussia,2,Second Wave - wave 3,6,2,Yes,No,
